iter	Passed	Remaining
0	169	169009
1	186	93122
2	204	67969
3	222	55513
4	240	47892
5	257	42740
6	275	39037
7	292	36317
8	310	34166
9	328	32524
10	346	31119
11	364	29992
12	381	28986
13	398	28093
14	416	27339
15	434	26702
16	451	26126
17	469	25607
18	486	25136
19	504	24698
20	521	24291
21	538	23937
22	556	23650
23	575	23397
24	594	23181
25	614	23015
26	631	22772
27	652	22650
28	674	22585
29	695	22483
30	715	22354
31	734	22231
32	753	22077
33	771	21932
34	791	21835
35	809	21677
36	828	21557
37	846	21438
38	865	21336
39	886	21266
40	907	21232
41	927	21164
42	948	21108
43	968	21042
44	988	20982
45	1008	20919
46	1029	20878
47	1049	20809
48	1070	20773
49	1092	20753
50	1113	20719
51	1135	20692
52	1155	20644
53	1176	20614
54	1197	20577
55	1217	20529
56	1238	20482
57	1258	20441
58	1278	20389
59	1297	20326
60	1316	20268
61	1336	20219
62	1356	20173
63	1378	20164
64	1398	20116
65	1418	20075
66	1438	20025
67	1456	19969
68	1475	19912
69	1495	19871
70	1514	19822
71	1533	19769
72	1553	19724
73	1572	19675
74	1591	19633
75	1610	19580
76	1628	19523
77	1672	19775
78	1702	19852
79	1738	19989
80	1761	19990
81	1790	20045
82	1810	20001
83	1830	19961
84	1851	19935
85	1872	19904
86	1896	19904
87	1916	19863
88	1935	19816
89	1954	19764
90	1973	19714
91	1993	19673
92	2012	19623
93	2031	19581
94	2050	19529
95	2068	19480
96	2087	19434
97	2106	19385
98	2125	19343
99	2145	19312
100	2164	19270
101	2187	19256
102	2206	19212
103	2228	19197
104	2253	19211
105	2277	19207
106	2303	19223
107	2329	19243
108	2360	19295
109	2386	19306
110	2409	19298
111	2431	19279
112	2455	19278
113	2482	19291
114	2511	19326
115	2536	19331
116	2560	19325
117	2587	19338
118	2612	19337
119	2637	19341
120	2663	19346
121	2688	19348
122	2718	19384
123	2744	19387
124	2781	19469
125	2818	19549
126	2857	19641
127	2883	19640
128	2913	19672
129	2936	19651
130	2957	19620
131	2977	19579
132	2998	19546
133	3018	19509
134	3039	19472
135	3061	19447
136	3085	19435
137	3109	19420
138	3134	19414
139	3160	19414
140	3184	19401
141	3205	19368
142	3224	19325
143	3243	19280
144	3263	19240
145	3281	19195
146	3301	19155
147	3320	19116
148	3339	19074
149	3357	19028
150	3376	18985
151	3396	18948
152	3416	18911
153	3435	18872
154	3453	18829
155	3473	18794
156	3493	18756
157	3513	18726
158	3535	18700
159	3555	18665
160	3575	18633
161	3595	18601
162	3615	18564
163	3635	18530
164	3655	18496
165	3673	18454
166	3692	18416
167	3713	18390
168	3733	18356
169	3753	18324
170	3773	18293
171	3795	18270
172	3815	18239
173	3838	18220
174	3858	18190
175	3878	18158
176	3898	18128
177	3918	18096
178	3939	18067
179	3960	18040
180	3980	18011
181	3999	17975
182	4019	17944
183	4039	17915
184	4061	17890
185	4081	17863
186	4102	17834
187	4121	17802
188	4143	17778
189	4161	17742
190	4181	17709
191	4199	17672
192	4218	17638
193	4236	17602
194	4256	17570
195	4274	17534
196	4293	17500
197	4311	17463
198	4331	17436
199	4352	17410
200	4372	17380
201	4394	17360
202	4415	17334
203	4436	17310
204	4456	17281
205	4477	17256
206	4496	17226
207	4516	17199
208	4536	17169
209	4555	17138
210	4575	17108
211	4595	17081
212	4614	17051
213	4634	17022
214	4653	16991
215	4673	16961
216	4691	16928
217	4710	16897
218	4730	16868
219	4749	16839
220	4767	16805
221	4787	16779
222	4806	16748
223	4826	16720
224	4845	16689
225	4863	16655
226	4883	16628
227	4903	16603
228	4923	16576
229	4942	16547
230	4962	16520
231	4981	16490
232	5001	16463
233	5019	16430
234	5037	16399
235	5057	16371
236	5075	16338
237	5093	16307
238	5111	16276
239	5131	16250
240	5150	16220
241	5168	16190
242	5190	16168
243	5210	16142
244	5229	16115
245	5249	16089
246	5269	16064
