iter	Passed	Remaining
0	17	17443
1	36	18222
2	53	17811
3	72	18070
4	90	17951
5	108	18010
6	127	18111
7	145	18089
8	164	18126
9	182	18085
10	201	18114
11	219	18055
12	238	18085
13	258	18175
14	276	18141
15	294	18085
16	313	18105
17	330	18049
18	348	18015
19	367	18025
20	385	17980
21	403	17954
22	422	17958
23	440	17914
24	458	17900
25	477	17900
26	496	17897
27	514	17866
28	533	17861
29	553	17881
30	570	17844
31	589	17832
32	607	17793
33	625	17775
34	644	17777
35	663	17766
36	682	17762
37	701	17753
38	720	17749
39	738	17730
40	756	17704
41	775	17680
42	793	17657
43	811	17631
44	830	17621
45	848	17606
46	866	17569
47	885	17562
48	903	17540
49	921	17508
50	940	17502
51	959	17487
52	977	17461
53	995	17443
54	1013	17419
55	1032	17397
56	1050	17377
57	1068	17360
58	1088	17360
59	1107	17349
60	1126	17339
61	1144	17321
62	1163	17304
63	1183	17301
64	1201	17287
65	1220	17274
66	1239	17254
67	1257	17240
68	1279	17267
69	1298	17252
70	1316	17223
71	1336	17224
72	1355	17207
73	1373	17188
74	1391	17161
75	1409	17132
76	1427	17117
77	1445	17092
78	1464	17074
79	1483	17058
80	1500	17028
81	1519	17010
82	1537	16991
83	1555	16967
84	1574	16946
85	1593	16933
86	1611	16911
87	1629	16889
88	1648	16871
89	1666	16849
90	1684	16831
91	1702	16807
92	1721	16786
93	1740	16772
94	1758	16751
95	1777	16736
96	1796	16720
97	1814	16702
98	1833	16683
99	1851	16666
100	1870	16650
101	1888	16626
102	1906	16599
103	1925	16586
104	1944	16572
105	1962	16548
106	1980	16532
107	1999	16516
108	2017	16494
109	2036	16477
110	2054	16456
111	2073	16440
112	2092	16428
113	2111	16414
114	2130	16394
115	2148	16376
116	2167	16357
117	2186	16340
118	2204	16319
119	2222	16301
120	2241	16281
121	2259	16263
122	2278	16246
123	2296	16226
124	2315	16206
125	2333	16187
126	2352	16170
127	2370	16149
128	2388	16127
129	2408	16116
130	2426	16097
131	2445	16084
132	2464	16062
133	2482	16041
134	2499	16017
135	2517	15995
136	2535	15974
137	2553	15951
138	2572	15935
139	2590	15913
140	2608	15893
141	2626	15872
142	2644	15851
143	2663	15834
144	2682	15816
145	2700	15798
146	2719	15778
147	2737	15760
148	2755	15737
149	2774	15721
150	2793	15707
151	2814	15700
152	2832	15679
153	2850	15658
154	2869	15642
155	2887	15621
156	2904	15596
157	2922	15575
158	2940	15552
159	2958	15532
160	2976	15513
161	2994	15489
162	3012	15469
163	3030	15448
164	3048	15429
165	3067	15410
166	3085	15388
167	3103	15371
168	3123	15360
169	3144	15352
170	3162	15333
171	3181	15315
172	3200	15301
173	3219	15284
174	3237	15261
175	3254	15239
176	3273	15220
177	3291	15201
178	3310	15183
179	3328	15162
180	3346	15140
181	3364	15122
182	3382	15101
183	3401	15084
184	3420	15067
185	3438	15050
186	3457	15031
187	3475	15012
188	3493	14991
189	3511	14969
190	3529	14951
191	3548	14933
192	3566	14912
193	3585	14894
194	3604	14878
195	3621	14857
196	3640	14840
197	3658	14820
198	3676	14798
199	3695	14782
200	3714	14766
201	3734	14751
